
VERTICE	GRAU
    808	1516
    809	1532
    810	1517
    811	1404
    812	1464
    813	1464
    814	1465
    815	1511
    816	1427
    817	1482
    818	1484
    819	1550
    820	1527
    821	1488
    822	1502
    823	1488
    824	1457
    825	1515
    826	1451
    827	1459
    828	1455
    829	1442
    830	1449
    831	1517
    832	1553
    833	1554
    834	1478
    835	1485
    836	1463
    837	1501
    838	1484
    839	1492
    840	1590
    841	1512
    842	1509
    843	1455
    844	1498
    845	1508
    846	1517
    847	1430
    848	1507
    849	1489
    850	1452
    851	1487
    852	1435
    853	1523
    854	1491
    855	1494
    856	1537
    857	1507
    858	1482
    859	1477
    860	1512
    861	1451
    862	1459
    863	1499
    864	1449
    865	1498
    866	1524
    867	1524
    868	1460
    869	1575
    870	1451
    871	1523
    872	1471
    873	1613
    874	1483
    875	1464
    876	1443
    877	1509
    878	1512
    879	1460
    880	1477
    881	1461
    882	1428
    883	1523
    884	1453
    885	1503
    886	1524
    887	1463
    888	1478
    889	1473
    890	1505
    891	1435
    892	1435
    893	1508
    894	1480
    895	1516
    896	1495
    897	1422
    898	1537
    899	1467
    900	1544
    901	1427
    902	1498
    903	1478
    904	1491
    905	1537
    906	1576
    907	1513
    908	1542
    909	1493
    910	1464
    911	1505
    912	1492
    913	1468
    914	1492
    915	1461
    916	1516
    917	1443
    918	1515
    919	1470
    920	1505
    921	1595
    922	1457
    923	1509
    924	1495
    925	1455
    926	1475
    927	1457
    928	1544
    929	1530
    930	1530
    931	1485
    932	1496
    933	1499
    934	1491
    935	1467
    936	1544
    937	1459
    938	1506
    939	1538
    940	1432
    941	1548
    942	1486
    943	1488
    944	1448
    945	1472
    946	1507
    947	1438
    948	1491
    949	1485
    950	1497
    951	1508
    952	1543
    953	1527
    954	1536
    955	1482
    956	1599
    957	1521
    958	1465
    959	1501
    960	1457
    961	1555
    962	1537
    963	1507
    964	1496
    965	1454
    966	1512
    967	1502
    968	1502
    969	1509
    970	1535
    971	1508
    972	1485
    973	1513
    974	1479
    975	1394
    976	1417
    977	1511
    978	1520
    979	1490
    980	1452
    981	1588
    982	1515
    983	1552
    984	1429
    985	1529
    986	1481
    987	1552
    988	1486
    989	1504
    990	1546
    991	1474
    992	1453
    993	1490
    994	1509
    995	1532
    996	1550
    997	1452
    998	1561
    999	1435
   1000	1451
   1001	1438
   1002	1568
   1003	1472
   1004	1529
   1005	1523
   1006	1488
   1007	1496
   1008	1515
   1009	1473
   1010	1441
   1011	1549
   1012	1487
   1013	1431
   1014	1456
   1015	1500
   1016	1534
   1017	1429
   1018	1476
   1019	1472
   1020	1537
   1021	1433
   1022	1404
   1023	1492
   1024	1497
   1025	1566
   1026	1505
   1027	1398
   1028	1516
   1029	1542
   1030	1517
   1031	1510
   1032	1469
   1033	1472
   1034	1542
   1035	1476
   1036	1507
   1037	1505
   1038	1500
   1039	1476
   1040	1512
   1041	1490
   1042	1575
   1043	1491
   1044	1470
   1045	1438
   1046	1551
   1047	1454
   1048	1524
   1049	1518
   1050	1461
   1051	1472
   1052	1500
   1053	1501
   1054	1452
   1055	1514
   1056	1551
   1057	1466
   1058	1483
   1059	1514
   1060	1425
   1061	1464
   1062	1538
   1063	1501
   1064	1451
   1065	1466
   1066	1479
   1067	1426
   1068	1481
   1069	1484
   1070	1515
   1071	1500
   1072	1509
   1073	1493
   1074	1551
   1075	1513
   1076	1594
   1077	1525
   1078	1494
   1079	1493
   1080	1471
   1081	1508
   1082	1574
   1083	1490
   1084	1504
   1085	1458
   1086	1451
   1087	1454
   1088	1567
   1089	1438
   1090	1458
   1091	1417
   1092	1470
   1093	1517
   1094	1466
   1095	1456
   1096	1497
   1097	1511
   1098	1539
   1099	1564
   1100	1484
   1101	1456
   1102	1401
   1103	1459
   1104	1530
   1105	1487
   1106	1441
   1107	1457
   1108	1450
   1109	1507
   1110	1475
   1111	1420
   1112	1465
   1113	1454
   1114	1502
   1115	1432
   1116	1467
   1117	1443
   1118	1469
   1119	1399
   1120	1480
   1121	1455
   1122	1454
   1123	1528
   1124	1503
   1125	1487
   1126	1550
   1127	1476
   1128	1465
   1129	1498
   1130	1511
   1131	1433
   1132	1531
   1133	1516
   1134	1546
   1135	1516
   1136	1522
   1137	1478
   1138	1458
   1139	1544
   1140	1528
   1141	1481
   1142	1564
   1143	1513
   1144	1545
   1145	1499
   1146	1522
   1147	1510
   1148	1469
   1149	1486
   1150	1516
   1151	1493
   1152	1517
   1153	1487
   1154	1444
   1155	1521
   1156	1523
   1157	1534
   1158	1458
   1159	1529
   1160	1459
   1161	1442
   1162	1513
   1163	1514
   1164	1491
   1165	1496
   1166	1525
   1167	1501
   1168	1443
   1169	1436
   1170	1455
   1171	1508
   1172	1521
   1173	1462
   1174	1530
   1175	1409
   1176	1529
   1177	1511
   1178	1486
   1179	1476
   1180	1499
   1181	1473
   1182	1488
   1183	1467
   1184	1470
   1185	1525
   1186	1512
   1187	1445
   1188	1473
   1189	1492
   1190	1482
   1191	1541
   1192	1528
   1193	1485
   1194	1456
   1195	1490
   1196	1578
   1197	1497
   1198	1510
   1199	1490
   1200	1517
   1201	1492
   1202	1439
   1203	1495
   1204	1492
   1205	1493
   1206	1519
   1207	1561
   1208	1550
   1209	1563
   1210	1486
   1211	1484
   1212	1452
   1213	1475
   1214	1517
   1215	1510
   1216	1505
   1217	1569
   1218	1428
   1219	1424
   1220	1486
   1221	1484
   1222	1497
   1223	1482
   1224	1443
   1225	1468
   1226	1449
   1227	1573
   1228	1495
   1229	1415
   1230	1509
   1231	1527
   1232	1510
   1233	1507
   1234	1481
   1235	1541
   1236	1524
   1237	1472
   1238	1490
   1239	1487
   1240	1506
   1241	1451
   1242	1437
   1243	1493
   1244	1450
   1245	1520
   1246	1443
   1247	1528
   1248	1477
   1249	1503
   1250	1477
   1251	1501
   1252	1491
   1253	1433
   1254	1445
   1255	1524
   1256	1438
   1257	1436
   1258	1546
   1259	1463
   1260	1514
   1261	1521
   1262	1490
   1263	1476
   1264	1473
   1265	1531
   1266	1533
   1267	1442
   1268	1578
   1269	1448
   1270	1514
   1271	1534
   1272	1469
   1273	1491
   1274	1455
   1275	1514
   1276	1476
   1277	1450
   1278	1462
   1279	1507
   1280	1460
   1281	1491
   1282	1460
   1283	1448
   1284	1556
   1285	1526
   1286	1465
   1287	1469
   1288	1422
   1289	1540
   1290	1491
   1291	1523
   1292	1436
   1293	1518
   1294	1508
   1295	1476
   1296	1534
   1297	1483
   1298	1508
   1299	1550
   1300	1493
   1301	1500
   1302	1441
   1303	1459
   1304	1501
   1305	1424
   1306	1523
   1307	1517
   1308	1484
   1309	1550
   1310	1514
   1311	1473
   1312	1511
   1313	1477
   1314	1515
   1315	1426
   1316	1486
   1317	1480
   1318	1422
   1319	1553
   1320	1525
   1321	1468
   1322	1515
   1323	1456
   1324	1499
   1325	1522
   1326	1435
   1327	1444
   1328	1435
   1329	1454
   1330	1531
   1331	1504
   1332	1491
   1333	1510
   1334	1463
   1335	1511
   1336	1525
   1337	1496
   1338	1474
   1339	1517
   1340	1512
   1341	1487
   1342	1545
   1343	1458
   1344	1464
   1345	1495
   1346	1508
   1347	1516
   1348	1450
   1349	1504
   1350	1468
   1351	1478
   1352	1511
   1353	1493
   1354	1430
   1355	1461
   1356	1491
   1357	1547
   1358	1438
   1359	1484
   1360	1518
   1361	1444
   1362	1427
   1363	1422
   1364	1498
   1365	1464
   1366	1467
   1367	1485
   1368	1545
   1369	1417
   1370	1492
   1371	1461
   1372	1495
   1373	1579
   1374	1483
   1375	1548
   1376	1420
   1377	1479
   1378	1492
   1379	1486
   1380	1451
   1381	1495
   1382	1580
   1383	1462
   1384	1570
   1385	1492
   1386	1502
   1387	1448
   1388	1510
   1389	1550
   1390	1506
   1391	1516
   1392	1486
   1393	1457
   1394	1469
   1395	1504
   1396	1572
   1397	1501
   1398	1495
   1399	1556
   1400	1451
   1401	1471
   1402	1504
   1403	1500
   1404	1464
   1405	1608
   1406	1507
   1407	1623
   1408	1448
   1409	1490
   1410	1405
   1411	1412
   1412	1582
   1413	1454
   1414	1489
   1415	1549
   1416	1471
   1417	1481
   1418	1502
   1419	1469
   1420	1488
   1421	1506
   1422	1403
   1423	1451
   1424	1493
   1425	1535
   1426	1450
   1427	1459
   1428	1485
   1429	1500
   1430	1528
   1431	1491
   1432	1546
   1433	1479
   1434	1472
   1435	1526
   1436	1525
   1437	1482
   1438	1433
   1439	1543
   1440	1496
   1441	1530
   1442	1503
   1443	1442
   1444	1502
   1445	1525
   1446	1461
   1447	1529
   1448	1463
   1449	1547
   1450	1465
   1451	1543
   1452	1517
   1453	1468
   1454	1510
   1455	1436
   1456	1451
   1457	1520
   1458	1434
   1459	1418
   1460	1489
   1461	1535
   1462	1495
   1463	1536
   1464	1492
   1465	1540
   1466	1524
   1467	1460
   1468	1557
   1469	1481
   1470	1508
   1471	1511
   1472	1542
   1473	1485
   1474	1501
   1475	1435
   1476	1483
   1477	1479
   1478	1510
   1479	1481
   1480	1470
   1481	1484
   1482	1418
   1483	1453
   1484	1439
   1485	1483
   1486	1491
   1487	1497
   1488	1531
   1489	1492
   1490	1469
   1491	1506
   1492	1540
   1493	1514
   1494	1530
   1495	1547
   1496	1455
   1497	1462
   1498	1473
   1499	1540
   1500	1475
   1501	1525
   1502	1475
   1503	1519
   1504	1567
   1505	1425
   1506	1461
   1507	1486
   1508	1502
   1509	1427
   1510	1531
   1511	1485
   1512	1477
   1513	1458
   1514	1585
   1515	1488
   1516	1491
   1517	1505
   1518	1510
   1519	1548
   1520	1439
   1521	1535
   1522	1466
   1523	1505
   1524	1478
   1525	1484
   1526	1516
   1527	1415
   1528	1472
   1529	1458
   1530	1472
   1531	1481
   1532	1493
   1533	1453
   1534	1580
   1535	1533
   1536	1529
   1537	1535
   1538	1514
   1539	1516
   1540	1508
   1541	1422
   1542	1465
   1543	1492
   1544	1503
   1545	1482
   1546	1415
   1547	1577
   1548	1544
   1549	1512
   1550	1519
   1551	1473
   1552	1471
   1553	1437
   1554	1457
   1555	1476
   1556	1515
   1557	1484
   1558	1516
   1559	1493
   1560	1498
   1561	1505
   1562	1486
   1563	1525
   1564	1527
   1565	1492
   1566	1407
   1567	1477
   1568	1505
   1569	1520
   1570	1421
   1571	1455
   1572	1511
   1573	1455
   1574	1483
   1575	1456
   1576	1505
   1577	1463
   1578	1526
   1579	1544
   1580	1493
   1581	1474
   1582	1520
   1583	1472
   1584	1473
   1585	1497
   1586	1468
   1587	1485
   1588	1434
   1589	1479
   1590	1462
   1591	1530
   1592	1462
   1593	1443
   1594	1452
   1595	1524
   1596	1466
   1597	1447
   1598	1552
   1599	1421
   1600	1476
   1601	1449
   1602	1526
   1603	1511
   1604	1522
   1605	1539
   1606	1477
   1607	1440
   1608	1467
   1609	1503
   1610	1488
   1611	1515
   1612	1494
   1613	1527
   1614	1522
   1615	1522
   1616	1473
   1617	1546
   1618	1507
   1619	1440
   1620	1544
   1621	1510
   1622	1512
   1623	1437
   1624	1485
   1625	1505
   1626	1496
   1627	1426
   1628	1449
   1629	1469
   1630	1462
   1631	1490
   1632	1468
   1633	1498
   1634	1453
   1635	1446
   1636	1483
   1637	1477
   1638	1481
   1639	1558
   1640	1509
   1641	1486
   1642	1474
   1643	1458
   1644	1482
   1645	1527
   1646	1445
   1647	1526
   1648	1426
   1649	1453
   1650	1466
   1651	1491
   1652	1484
   1653	1485
   1654	1439
   1655	1525
   1656	1452
   1657	1516
   1658	1444
   1659	1494
   1660	1524
   1661	1461
   1662	1491
   1663	1532
   1664	1491
   1665	1511
   1666	1454
   1667	1558
   1668	1492
   1669	1486
   1670	1500
   1671	1462
   1672	1404
   1673	1485
   1674	1475
   1675	1497
   1676	1439
   1677	1454
   1678	1519
   1679	1506
   1680	1536
   1681	1432
   1682	1581
   1683	1441
   1684	1487
   1685	1524
   1686	1429
   1687	1531
   1688	1420
   1689	1464
   1690	1458
   1691	1477
   1692	1486
   1693	1535
   1694	1468
   1695	1500
   1696	1493
   1697	1558
   1698	1502
   1699	1499
   1700	1452
   1701	1460
   1702	1455
   1703	1495
   1704	1480
   1705	1524
   1706	1465
   1707	1470
   1708	1465
   1709	1513
   1710	1455
   1711	1515
   1712	1529
   1713	1452
   1714	1520
   1715	1451
   1716	1475
   1717	1540
   1718	1439
   1719	1469
   1720	1516
   1721	1478
   1722	1583
   1723	1516
   1724	1465
   1725	1453
   1726	1527
   1727	1541
   1728	1541
   1729	1552
   1730	1496
   1731	1522
   1732	1498
   1733	1454
   1734	1477
   1735	1497
   1736	1586
   1737	1519
   1738	1520
   1739	1458
   1740	1474
   1741	1498
   1742	1479
   1743	1437
   1744	1508
   1745	1476
   1746	1522
   1747	1483
   1748	1535
   1749	1469
   1750	1485
   1751	1501
   1752	1505
   1753	1544
   1754	1497
   1755	1530
   1756	1494
   1757	1486
   1758	1516
   1759	1494
   1760	1519
   1761	1462
   1762	1532
   1763	1493
   1764	1509
   1765	1508
   1766	1474
   1767	1399
   1768	1463
   1769	1469
   1770	1494
   1771	1539
   1772	1511
   1773	1519
   1774	1467
   1775	1560
   1776	1501
   1777	1495
   1778	1407
   1779	1542
   1780	1481
   1781	1452
   1782	1423
   1783	1584
   1784	1466
   1785	1508
   1786	1505
   1787	1477
   1788	1448
   1789	1475
   1790	1533
   1791	1521
   1792	1469
   1793	1449
   1794	1543
   1795	1511
   1796	1516
   1797	1459
   1798	1485
   1799	1574
   1800	1506
   1801	1503
   1802	1457
   1803	1510
   1804	1515
   1805	1487
   1806	1483
   1807	1422
   1808	1419
   1809	1489
   1810	1444
   1811	1520
   1812	1494
   1813	1469
   1814	1536
   1815	1488
   1816	1478
   1817	1486
   1818	1530
   1819	1455
   1820	1508
   1821	1486
   1822	1507
   1823	1510
   1824	1510
   1825	1567
   1826	1550
   1827	1510
   1828	1501
   1829	1469
   1830	1518
   1831	1510
   1832	1520
   1833	1513
   1834	1477
   1835	1445
   1836	1464
   1837	1469
   1838	1455
   1839	1483
   1840	1515
   1841	1528
   1842	1545
   1843	1517
   1844	1522
   1845	1485
   1846	1485
   1847	1489
   1848	1494
   1849	1523
   1850	1496
   1851	1485
   1852	1504
   1853	1576
   1854	1500
   1855	1499
   1856	1472
   1857	1545
   1858	1474
   1859	1400
   1860	1489
   1861	1498
   1862	1478
   1863	1501
   1864	1518
   1865	1500
   1866	1496
   1867	1531
   1868	1520
   1869	1492
   1870	1419
   1871	1478
   1872	1470
   1873	1447
   1874	1513
   1875	1527
   1876	1499
   1877	1492
   1878	1495
   1879	1477
   1880	1498
   1881	1549
   1882	1463
   1883	1510
   1884	1489
   1885	1517
   1886	1482
   1887	1464
   1888	1519
   1889	1524
   1890	1455
   1891	1540
   1892	1492
   1893	1527
   1894	1470
   1895	1541
   1896	1439
   1897	1491
   1898	1513
   1899	1446
   1900	1465
   1901	1488
   1902	1437
   1903	1482
   1904	1506
   1905	1515
   1906	1468
   1907	1489
   1908	1483
   1909	1497
   1910	1499
   1911	1502
   1912	1541
   1913	1491
   1914	1571
   1915	1499
   1916	1482
   1917	1533
   1918	1465
   1919	1525
   1920	1530
   1921	1528
   1922	1475
   1923	1447
   1924	1396
   1925	1542
   1926	1557
   1927	1453
   1928	1456
   1929	1489
   1930	1458
   1931	1479
   1932	1453
   1933	1538
   1934	1518
   1935	1434
   1936	1414
   1937	1513
   1938	1478
   1939	1458
   1940	1486
   1941	1522
   1942	1509
   1943	1456
   1944	1488
   1945	1529
   1946	1448
   1947	1495
   1948	1564
   1949	1611
   1950	1494
   1951	1474
   1952	1470
   1953	1522
   1954	1542
   1955	1485
   1956	1532
   1957	1473
   1958	1455
   1959	1483
   1960	1494
   1961	1451
   1962	1482
   1963	1453
   1964	1489
   1965	1436
   1966	1479
   1967	1452
   1968	1430
   1969	1514
   1970	1469
   1971	1520
   1972	1421
   1973	1506
   1974	1496
   1975	1503
   1976	1446
   1977	1527
   1978	1425
   1979	1449
   1980	1484
   1981	1553
   1982	1541
   1983	1461
   1984	1523
   1985	1489
   1986	1471
   1987	1535
   1988	1522
   1989	1552
   1990	1471
   1991	1433
   1992	1512
   1993	1443
   1994	1536
   1995	1511
   1996	1491
   1997	1494
   1998	1466
   1999	1445
   2000	1468
   2001	1560
   2002	1455
   2003	1441
   2004	1444
   2005	1499
   2006	1502
   2007	1505
   2008	1510
   2009	1464
   2010	1468
   2011	1484
   2012	1500
   2013	1424
   2014	1390
   2015	1528
   2016	1458
   2017	1559
   2018	1516
   2019	1542
   2020	1521
   2021	1562
   2022	1512
   2023	1477
   2024	1471
   2025	1486
   2026	1538
   2027	1512
   2028	1517
   2029	1461
   2030	1558
   2031	1508
   2032	1528
   2033	1497
   2034	1474
   2035	1454
   2036	1470
   2037	1481
   2038	1490
   2039	1515
   2040	1553
   2041	1541
   2042	1554
   2043	1503
   2044	1474
   2045	1527
   2046	1447
   2047	1486
   2048	1481
   2049	1489
   2050	1473
   2051	1534
   2052	1499
   2053	1504
   2054	1479
   2055	1534
   2056	1532
   2057	1540
   2058	1505
   2059	1420
   2060	1452
   2061	1483
   2062	1519
   2063	1426
   2064	1441
   2065	1575
   2066	1467
   2067	1493
   2068	1473
   2069	1481
   2070	1494
   2071	1438
   2072	1451
   2073	1553
   2074	1472
   2075	1484
   2076	1404
   2077	1493
   2078	1461
   2079	1428
   2080	1457
   2081	1540
   2082	1507
   2083	1488
   2084	1481
   2085	1542
   2086	1475
   2087	1456
   2088	1469
   2089	1494
   2090	1569
   2091	1448
   2092	1457
   2093	1480
   2094	1574
   2095	1471
   2096	1502
   2097	1526
   2098	1584
   2099	1473
   2100	1448
   2101	1456
   2102	1579
   2103	1558
   2104	1444
   2105	1444
   2106	1509
   2107	1580
   2108	1456
   2109	1434
   2110	1449
   2111	1450
   2112	1473
   2113	1519
   2114	1481
   2115	1497
   2116	1562
   2117	1498
   2118	1555
   2119	1454
   2120	1535
   2121	1509
   2122	1518
   2123	1543
   2124	1560
   2125	1509
   2126	1493
   2127	1547
   2128	1420
   2129	1505
   2130	1485
   2131	1474
   2132	1500
   2133	1474
   2134	1472
   2135	1400
   2136	1476
   2137	1449
   2138	1475
